,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Variation Margin, 
Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), ,  ,MarketValue (4), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
 CDX.EM-26 5-Year Index, , ,1.000,% , , ,12/20/2021, , ,$,"11,100", ,  ,$,(693,) , ,$,145, , ,$,0, , ,$,(6,) 
 CDX.HY-26 5-Year Index, , ,5.000, , , ,06/20/2021, , , ,"95,800", ,  , ,"6,843", , , ,"2,645", , , ,80, , , ,0, 
 CDX.HY-27 5-Year Index, , ,5.000, , , ,12/20/2021, , , ,"75,300", ,  , ,"4,805", , , ,601, , , ,92, , , ,0, 
 CDX.IG-27 5-Year Index, , ,1.000, , , ,12/20/2021, , , ,"  240,000", ,  , ,"3,724", , , ,"1,185", , , ,72, , , ,0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"  14,679", , ,$,"  4,576", , ,$,  244, , ,$,  (6,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
