,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , ,  , , , , , , ,Variation Margin, 
Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), ,  ,MarketValue (4), , ,Unrealized(Depreciation), , ,Asset, , ,Liability, 
" CDX.HY-27 5-Year
Index", , ,5.000,% , , ,12/20/2021, , ,$,"  30,000", ,  ,$,"(1,914",) , ,$,(844,) , ,$,0, , ,$,(37,) 
" CDX.IG-26 5-Year
Index", , ,1.000, , , ,06/20/2021, , , ,"45,500", ,  , ,(774,) , , ,(281,) , , ,0, , , ,(8,) 
" CDX.IG-27 5-Year
Index", , ,1.000, , , ,12/20/2021, , , ,"33,700", ,  , ,(522,) , , ,(53,) , , ,0, , , ,(10,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"  (3,210",) , ,$,"  (1,178",) , ,$,  0, , ,$,  (55,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
