,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed(Pay) Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (4)", , ,NotionalAmount (5), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BOA, , ING Bank NV, , ,(1.000,)% , , ,12/20/2021, , , ,1.497,% , ,EUR, 400, , ,$,11, , ,$,(1,) , ,$,10, , ,$,0, 
BPS, , HSBC Bank PLC, , ,(1.000,) , , ,06/20/2021, , , ,1.319, , , ,700, , , ,9, , , ,1, , , ,10, , , ,0, 
, , ING Bank NV, , ,(1.000,) , , ,12/20/2021, , , ,1.497, , , ,400, , , ,14, , , ,(4,) , , ,10, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,12/20/2021, , , ,0.609, , , ,800, , , ,(13,) , , ,(4,) , , ,0, , , ,(17,) 
BRC, , Springleaf Finance Corp., , ,(5.000,) , , ,06/20/2020, , , ,3.344, , ,$,900, , , ,(67,) , , ,18, , , ,0, , , ,(49,) 
CBK, , Barclays Bank PLC, , ,(1.000,) , , ,06/20/2021, , , ,1.685, , ,EUR," 1,900", , , ,106, , , ,(47,) , , ,59, , , ,0, 
, , HSBC Bank PLC, , ,(1.000,) , , ,12/20/2021, , , ,1.425, , , ,400, , , ,10, , , ,(1,) , , ,9, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,12/20/2021, , , ,1.473, , , ,400, , , ,15, , , ,(5,) , , ,10, , , ,0, 
GST, , SABMiller PLC, , ,(1.000,) , , ,01/20/2022, , , ,0.334, , ,$,200, , , ,(5,) , , ,(2,) , , ,0, , , ,(7,) 
JPM, , Barclays Bank PLC, , ,(1.000,) , , ,06/20/2021, , , ,1.685, , ,EUR,"   2,000", , , ,107, , , ,(45,) , , ,62, , , ,0, 
RYL, , Burlington Northern Santa Fe LLC, , ,(0.510,) , , ,03/20/2018, , , ,0.044, , ,$,446, , , ,0, , , ,(2,) , , ,0, , , ,(2,) 
, , Cleveland Electric Illuminating Co., , ,(0.940,) , , ,06/20/2017, , , ,0.134, , , ,637, , , ,0, , , ,(3,) , , ,0, , , ,(3,) 
SOG, , Intesa Sanpaolo SpA, , ,(1.000,) , , ,03/20/2026, , , ,3.201, , , ,"1,700", , , ,233, , , ,38, , , ,271, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,,,, ,$,  420, , ,$,  (57,) , ,$,  441, , ,$,  (78,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
