,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , , , , , , , , , , , , ,"Swap Agreements, at Value", 
Counterparty, ,Reference Entity, ,Fixed(Pay) Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (4)", , ,NotionalAmount (5), , ,PremiumsPaid/(Received), , ,Unrealized(Depreciation), , ,Asset, , ,Liability, 
 BOA, , ING Bank NV, , ,(1.000,)% , , ,12/20/2021, , , ,1.497,% , ,EUR, 500, , ,$,14, , ,$,(2,) , ,$,12, , ,$,0, 
 BPS, , ING Bank NV, , ,(1.000,) , , ,06/20/2021, , , ,1.417, , , ,"  1,300", , , ,32, , , ,(7,) , , ,25, , , ,0, 
, , ING Bank NV, , ,(1.000,) , , ,12/20/2021, , , ,1.497, , , ,500, , , ,18, , , ,(5,) , , ,13, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,12/20/2021, , , ,0.609, , , ,"1,000", , , ,(16,) , , ,(5,) , , ,0, , , ,(21,) 
 CBK, , HSBC Bank PLC, , ,(1.000,) , , ,12/20/2021, , , ,1.425, , , ,500, , , ,13, , , ,(2,) , , ,11, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,06/20/2021, , , ,1.399, , , ,"1,500", , , ,34, , , ,(7,) , , ,27, , , ,0, 
, , UBS AG, , ,(1.000,) , , ,12/20/2021, , , ,1.473, , , ,500, , , ,18, , , ,(6,) , , ,12, , , ,0, 
 GST, , SABMiller PLC, , ,(1.000,) , , ,01/20/2022, , , ,0.334, , ,$,400, , , ,(10,) , , ,(4,) , , ,0, , , ,(14,) 
 JPM, , Barclays Bank PLC, , ,(1.000,) , , ,06/20/2021, , , ,1.685, , ,EUR," 2,100", , , ,112, , , ,(47,) , , ,65, , , ,0, 
, , Intesa Sanpaolo SpA, , ,(1.000,) , , ,03/20/2026, , , ,3.201, , ,$,"1,700", , , ,277, , , ,(6,) , , ,271, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,,,, ,$,  492, , ,$,  (91,) , ,$,  436, , ,$,  (35,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
