,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , ,  , , , , , , ,Variation Margin, 
Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (2), ,  ,MarketValue (3), , ,Unrealized(Depreciation), , ,Asset, , ,Liability, 
 CDX.IG-27 5-Year Index, , ,1.000,% , , ,12/20/2021, , ,$,400, ,  ,$,  (7,) , ,$,  (2,) , ,$,  0, , ,$,  0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
