,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty,  ,Index/Tranches,  ,FixedReceive Rate, ,  ,MaturityDate, ,  ,NotionalAmount (3), ,  ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
BOA,  , ABX.HE.AAA.6-2 Index,  , ,0.110,% ,  , ,05/25/2046, ,  ,$,"8,006", ,  ,$,"(1,651",) , ,$,590, , ,$,0, , ,$,"(1,061",) 
,  , CDX.HY-23 5-Year Index 25-35%,  , ,5.000, ,  , ,12/20/2019, ,  , ,"13,700", ,  , ,"1,488", , , ,354, , , ,"1,842", , , ,0, 
BRC,  , ABX.HE.AAA.6-2 Index,  , ,0.110, ,  , ,05/25/2046, ,  , ,"16,013", ,  , ,"(3,341",) , , ,"1,220", , , ,0, , , ,"(2,121",) 
CBK,  , CDX.HY-23 5-Year Index 25-35%,  , ,5.000, ,  , ,12/20/2019, ,  , ,"18,700", ,  , ,"2,037", , , ,477, , , ,"2,514", , , ,0, 
,  ,,  ,,,,  ,,,,  ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,,  ,,,,  ,,,,  ,$,"  (1,467",) , ,$,"  2,641", , ,$,"  4,356", , ,$,"  (3,182",) 
,  ,,  ,,,,  ,,,,  ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
