,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , ,  , , , , , , ,Variation Margin, 
Index/Tranches, ,FixedReceive Rate, , ," Maturity
Date", , ," Notional
Amount (3)", ,  ," Market
Value (4)", , ," Unrealized
(Depreciation)", , ,Asset, , ,Liability, 
 CDX.IG-26 10-Year Index, , ,1.000,% , , ,06/20/2026, , ,$,"17,600", ,  ,$,130, , ,$,(96,) , ,$,0, , ,$,(10,) 
 iTraxx Europe Main 26 5-Year Index, , ,1.000, , , ,12/20/2021, , ,EUR,"  212,400", ,  , ,"(3,141",) , , ,(825,) , , ,0, , , ,(15,) 
 iTraxx Europe Senior 25 5-Year Index, , ,1.000, , , ,06/20/2021, , , ,"42,200", ,  , ,(276,) , , ,(183,) , , ,0, , , ,(9,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"  (3,287",) , ,$,"  (1,104",) , ,$,  0, , ,$,  (34,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
