,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,Fixed Receive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,Premiums(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
DUB, , CMBX.NA.AAA.8 Index, , ,0.500,% , , ,10/17/2057, , ,$,"  17,000", , ,$,"(1,168",) , ,$,974, , ,$,0, , ,$,(194,) 
GST, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"11,900", , , ,(503,) , , ,243, , , ,0, , , ,(260,) 
JPS, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"6,800", , , ,(530,) , , ,453, , , ,0, , , ,(77,) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"9,700", , , ,(401,) , , ,189, , , ,0, , , ,(212,) 
, , CMBX.NA.BBB-.7 Index, , ,3.000, , , ,01/17/2047, , , ,"1,600", , , ,(136,) , , ,46, , , ,0, , , ,(90,) 
MYC, , CMBX.NA.BBB-.6 Index, , ,3.000, , , ,05/11/2063, , , ,"4,500", , , ,(389,) , , ,137, , , ,0, , , ,(252,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,"(3,127",) , ,$,"2,042", , ,$,0, , ,$,"(1,085",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements, , ,$,"  (3,147",) , ,$,"  2,055", , ,$,  17, , ,$,"  (1,109",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
