,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Variation Margin, 
Reference Entity, ,FixedReceive Rate, , ,MaturityDate, , ,"Implied CreditSpread
atDecember 31, 2016 (2)", ,  ,NotionalAmount (3), , ,MarketValue, , ,Unrealized(Depreciation), , ,Asset, , ,Liability, 
 Canadian Natural Resources Ltd., , ,1.000%, , , ,03/20/2018, , , ,0.354%, ,  ,$,"  1,900", , ,$,  (16,) , ,$,  (5,) , ,$,  1, , ,$,  0, 
, ,,,, ,,,, ,,,,  ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
