,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , ,  , , , , , , ,Variation Margin, 
Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), ,  ,MarketValue (4), , ,Unrealized(Depreciation), , ,Asset, , ,Liability, 
 CDX.HY-27 5-Year Index, , ,5.000,% , , ,12/20/2021, , , ,"37,600", ,  ,$,"(2,399",) , ,$,"  (1,057",) , ,$,  0, , ,$,  (46,) 
 CDX.IG-27 5-Year Index, , ,1.000, , , ,12/20/2021, , , ,"10,300", ,  , ,(160,) , , ,(16,) , , ,0, , , ,(3,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"  (2,559",) , ,$,"(1,073",) , ,$,0, , ,$,(49,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
