,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Variation Margin, 
Index/Tranches, ,Fixed Receive Rate, , ,MaturityDate, , ,NotionalAmount (3), ,  ,MarketValue (4), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
" CDX.EM-25 5-Year
Index", , ,1.000,% , , ,06/20/2021, , ,$,"1,800", ,  ,$,(104,) , ,$,(1,) , ,$,0, , ,$,(1,) 
" CDX.EM-26 5-Year
Index", , ,1.000, , , ,12/20/2021, , , ,"54,600", ,  , ,"(3,407",) , , ,180, , , ,0, , , ,(26,) 
" CDX.IG-25 5-Year
Index", , ,1.000, , , ,12/20/2020, , , ,"1,017,700", ,  , ,"17,050", , , ,"20,009", , , ,278, , , ,0, 
" CDX.IG-26 5-Year
Index", , ,1.000, , , ,06/20/2021, , , ,"1,237,201", ,  , ,"21,029", , , ,"6,424", , , ,227, , , ,0, 
" CDX.IG-27 5-Year
Index", , ,1.000, , , ,12/20/2021, , , ,"  2,775,150", ,  , ,"43,066", , , ,"11,652", , , ,829, , , ,0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"  77,634", , ,$,"  38,264", , ,$,"  1,334", , ,$,  (27,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
