,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Variation Margin, 
Index/Tranches, ,Fixed Receive Rate, , ,MaturityDate, , ,NotionalAmount (3), ,  ,MarketValue (4), , ,Unrealized(Depreciation), , ,Asset, , ,Liability, 
"
CDX.HY-27 5-Year 
Index", , ,5.000,% , , ,12/20/2021, , ,$,"  259,100", ,  ,$,"  (16,532",) , ,$,"  (2,684",) , ,$,  0, , ,$,  (317,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
