,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Variation Margin, 
Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), ,  ,MarketValue (4), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
 CDX.IG-27 5-Year Index, , ,1.000,% , , ,12/20/2021, , ,$,"  317,300", ,  ,$,"(4,924",) , ,$,"(1,410",) , ,$,0, , ,$,(95,) 
 iTraxx Europe Main 25 5-Year Index, , ,1.000, , , ,06/20/2021, , ,EUR,"42,100", ,  , ,(696,) , , ,118, , , ,4, , , ,0, 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,,  ,$,"  (5,620",) , ,$,"  (1,292",) , ,$,  4, , ,$,  (95,) 
, ,,,, ,,,, ,,,,  ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
