,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(4)", 
Counterparty, ,Index/Tranches, ,FixedReceive Rate, , ,MaturityDate, , ,NotionalAmount (3), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation, , ,Asset, , ,Liability, 
DUB, , CMBX.NA.AAA.7 Index, , ,0.500,% , , ,01/17/2047, , ,$,"1,400", , ,$,(43,) , ,$,35, , ,$,0, , ,$,(8,) 
GST, , CDX.IG-9 10-Year Index 30-100%, , ,0.548, , , ,12/20/2017, , , ,193, , , ,0, , , ,1, , , ,1, , , ,0, 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"  23,800", , , ,(961,) , , ,441, , , ,0, , , ,(520,) 
JPM, , CDX.IG-9 10-Year Index 30-100%, , ,0.553, , , ,12/20/2017, , , ,579, , , ,0, , , ,3, , , ,3, , , ,0, 
MEI, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"9,800", , , ,(648,) , , ,537, , , ,0, , , ,(111,) 
MYC, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"1,600", , , ,(50,) , , ,41, , , ,0, , , ,(9,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"7,200", , , ,(535,) , , ,453, , , ,0, , , ,(82,) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"14,600", , , ,(591,) , , ,272, , , ,0, , , ,(319,) 
, , CMBX.NA.BBB-.8 Index, , ,3.000, , , ,10/17/2057, , , ,"5,400", , , ,(861,) , , ,100, , , ,0, , , ,(761,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,$,"  (3,689",) , ,$,"  1,883", , ,$,4, , ,$,"(1,810",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements, , ,$,"(3,685",) , ,$,"2,024", , ,$,  149, , ,$,"  (1,810",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
