,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,"Swap Agreements, at Value 
(5)", 
Counterparty, ,Index/Tranches, ,Fixed ReceiveRate, , ,MaturityDate, , ,NotionalAmount (4), , ,PremiumsPaid/(Received), , ,UnrealizedAppreciation/(Depreciation), , ,Asset, , ,Liability, 
BRC, , CDX.EM-EXEU-18 5-Year Index, , ,5.000,% , , ,12/20/2017, , ,$,"6,390", , ,$,798, , ,$,(734,) , ,$,64, , ,$,0, 
CBK, ," MCDX-27 5-Year
Index", , ,1.000, , , ,12/20/2021, , , ,"12,700", , , ,144, , , ,50, , , ,194, , , ,0, 
DUB, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"2,800", , , ,(155,) , , ,94, , , ,0, , , ,(61,) 
GST, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"72,200", , , ,"(2,775",) , , ,"1,198", , , ,0, , , ,"(1,577",) 
HUS, ," CDX.EM-19 5-Year
Index", , ,5.000, , , ,06/20/2018, , , ,729, , , ,62, , , ,(45,) , , ,17, , , ,0, 
JPM, ," CDX.EM-17 5-Year
Index", , ,5.000, , , ,06/20/2017, , , ,"10,010", , , ,"1,116", , , ,"(1,062",) , , ,54, , , ,0, 
MEI, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"17,600", , , ,(712,) , , ,328, , , ,0, , , ,(384,) 
MYC, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"53,100", , , ,"(2,128",) , , ,968, , , ,0, , , ,"(1,160",) 
UAG, ," CDX.EM-18 5-Year
Index", , ,5.000, , , ,12/20/2017, , , ,"2,853", , , ,399, , , ,(369,) , , ,30, , , ,0, 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"8,100", , , ,(329,) , , ,152, , , ,0, , , ,(177,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,$,"(3,580",) , ,$,580, , ,$,359, , ,$,"(3,359",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
 Total Swap Agreements, , ,$,"  (27,794",) , ,$,"  12,346", , ,$,"  1,811", , ,$,"  (17,259",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
